dataset,activation,N,L,batch_size,n_seeds,seeds,lambda_constraints_AtA_median,lambda_max_total_gn_median,eta_best_1_over_lambda_median,eta_max_2_over_lambda_median,alpha_cap_eta_best_median
fashion_mnist,linear,8,8,64,3,"0,1,2",5.071337420966187,5.0735071486275825,0.19710231417935553,0.39420462835871106,2.0017113652524285
fashion_mnist,linear,8,16,64,3,"0,1,2",4.748047928542725,4.76472993567804,0.20987548371043113,0.41975096742086226,2.0073230029068077
fashion_mnist,linear,8,32,64,3,"0,1,2",4.423592835328418,4.4216371846524725,0.2261605731630369,0.4523211463260738,1.9966671107366127
fashion_mnist,linear,8,64,64,3,"0,1,2",4.244836591046237,4.25556903788964,0.2349862006928938,0.4699724013857876,2.0029745657024494
fashion_mnist,linear,8,128,64,3,"0,1,2",4.102446167479974,4.1041877439143475,0.24365357103431512,0.48730714206863024,1.9984863418981687
fashion_mnist,linear,16,8,64,3,"0,1,2",5.015656213329368,5.021666897170295,0.19913706354427832,0.39827412708855664,2.004815998307233
fashion_mnist,linear,16,16,64,3,"0,1,2",4.645622893394343,4.6408254857280475,0.21547890630132607,0.43095781260265215,2.0018016634906983
fashion_mnist,linear,16,32,64,3,"0,1,2",4.381665128033603,4.3786677150233535,0.22837996968095273,0.45675993936190545,1.9992849274028655
fashion_mnist,linear,16,64,64,3,"0,1,2",4.194610412073805,4.195054181664832,0.23837594383659283,0.47675188767318566,1.9996258796116413
fashion_mnist,linear,16,128,64,3,"0,1,2",4.092387516872753,4.090597529413187,0.24446306262338502,0.48892612524677004,1.998087523659723
fashion_mnist,linear,32,8,64,3,"0,1,2",5.0910215575334234,5.085724771879676,0.19662880805687044,0.3932576161137409,1.9958383317816364
fashion_mnist,linear,32,16,64,3,"0,1,2",4.661343709103411,4.65884532336238,0.2146454605361915,0.429290921072383,2.001599810095146
fashion_mnist,linear,32,32,64,3,"0,1,2",4.363447971600353,4.369321043670481,0.22886851069198214,0.45773702138396427,2.0043062513580887
fashion_mnist,linear,32,64,64,3,"0,1,2",4.197390978228286,4.196165987322938,0.23831278434196979,0.47662556868393957,1.9989638130871157
fashion_mnist,linear,32,128,64,3,"0,1,2",4.087536419366309,4.087088049300995,0.24467297693061144,0.48934595386122287,1.9995612319800364
fashion_mnist,linear,64,8,64,3,"0,1,2",5.085867598353905,5.083376929714422,0.19671962434156515,0.3934392486831303,1.9991335382648971
fashion_mnist,linear,64,16,64,3,"0,1,2",4.655291482198955,4.646350698170315,0.21522266935076373,0.43044533870152746,1.993446935219997
fashion_mnist,linear,64,32,64,3,"0,1,2",4.361665244370605,4.364744341511537,0.22910849336336936,0.4582169867267387,2.001237020731118
fashion_mnist,linear,64,64,64,3,"0,1,2",4.189440986964506,4.189770408903005,0.23867656277180757,0.47735312554361514,2.000314525913624
fashion_mnist,linear,64,128,64,3,"0,1,2",4.087420644259479,4.086537263479586,0.24470595409388846,0.4894119081877769,1.9991355127286603
fashion_mnist,linear,128,8,64,3,"0,1,2",5.032982323933136,5.034021904722221,0.19864832114892841,0.39729664229785683,2.005096291587935
fashion_mnist,linear,128,16,64,3,"0,1,2",4.628104054379999,4.633783032605467,0.21580639252281167,0.43161278504562334,2.0019193189838944
fashion_mnist,linear,128,32,64,3,"0,1,2",4.360112977796535,4.357203920244474,0.22950498032781813,0.45900996065563626,1.997264250764228
fashion_mnist,linear,128,64,64,3,"0,1,2",4.187031148716487,4.187845197053105,0.23878628577380992,0.47757257154761984,2.0007776854842527
fashion_mnist,linear,128,128,64,3,"0,1,2",4.086643016816895,4.0872062175886095,0.24466590300647592,0.48933180601295184,1.9996978790017015
fashion_mnist,relu,8,8,64,3,"0,1,2",4.991835202211449,4.970891628409266,0.20117115293459129,0.40234230586918257,1.9832177362001815
fashion_mnist,relu,8,16,64,3,"0,1,2",4.5660427083963455,4.5624508884064445,0.21918044149057705,0.4383608829811541,1.9968534503776798
fashion_mnist,relu,8,32,64,3,"0,1,2",4.366920638418553,4.362099616407958,0.22924740100811045,0.4584948020162209,1.9955840534694578
fashion_mnist,relu,8,64,64,3,"0,1,2",4.171428878158071,4.1630456286105595,0.240208753208827,0.480417506417654,1.9919612681482768
fashion_mnist,relu,8,128,64,3,"0,1,2",4.036257784315048,4.037390602230742,0.24768472969830546,0.4953694593966109,2.001429008967266
fashion_mnist,relu,16,8,64,3,"0,1,2",4.696071649881989,4.69984537661021,0.21277295737785645,0.4255459147557129,1.993958198760538
fashion_mnist,relu,16,16,64,3,"0,1,2",4.491491097285774,4.50593825831658,0.22192936136093447,0.44385872272186894,2.012866249285932
fashion_mnist,relu,16,32,64,3,"0,1,2",4.27366675582747,4.286688491111248,0.23328030531576313,0.46656061063152626,2.003110310720646
fashion_mnist,relu,16,64,64,3,"0,1,2",4.110196118736337,4.110577747571884,0.24327480500537899,0.48654961001075797,2.003365417835494
fashion_mnist,relu,16,128,64,3,"0,1,2",4.042507588259282,4.043429793268,0.24731479242323512,0.49462958484647024,2.0014356984871977
fashion_mnist,relu,32,8,64,3,"0,1,2",4.735802490557913,4.723508579583589,0.211707035808572,0.423414071617144,1.9896161962000445
fashion_mnist,relu,32,16,64,3,"0,1,2",4.449461036211954,4.442905182980621,0.22507795210905848,0.45015590421811696,2.0054583983146763
fashion_mnist,relu,32,32,64,3,"0,1,2",4.244214014343705,4.2393449542354,0.23588549900873967,0.47177099801747935,1.995605569567826
fashion_mnist,relu,32,64,64,3,"0,1,2",4.1075035754043805,4.1029787898251096,0.24372536423534016,0.48745072847068033,1.9992096400189467
fashion_mnist,relu,32,128,64,3,"0,1,2",4.0323458739517495,4.031572225016909,0.24804218904841918,0.49608437809683836,1.9990523291355728
fashion_mnist,relu,64,8,64,3,"0,1,2",4.757517522200134,4.757465466042961,0.21019595562755677,0.42039191125511355,2.0016735481171803
fashion_mnist,relu,64,16,64,3,"0,1,2",4.447637108813403,4.453504121794022,0.22454228684920724,0.4490845736984145,2.005276521296212
fashion_mnist,relu,64,32,64,3,"0,1,2",4.238703088947476,4.2418004818166475,0.23574894771376123,0.47149789542752246,2.0029229628064753
fashion_mnist,relu,64,64,64,3,"0,1,2",4.1058612462250395,4.104426021195878,0.2436394260332257,0.4872788520664514,1.9986017793168434
fashion_mnist,relu,64,128,64,3,"0,1,2",4.037170344952659,4.036063459806729,0.24776617363887682,0.49553234727775364,2.000209893344862
fashion_mnist,relu,128,8,64,3,"0,1,2",4.74558130844383,4.747261638583015,0.2106477536170694,0.4212955072341388,2.000099291218884
fashion_mnist,relu,128,16,64,3,"0,1,2",4.442535662777803,4.447836873577346,0.22482838926502963,0.44965677853005925,2.0047731396679245
fashion_mnist,relu,128,32,64,3,"0,1,2",4.228508186190273,4.229273129723779,0.23644724975833178,0.47289449951666357,1.9996202220633115
fashion_mnist,relu,128,64,64,3,"0,1,2",4.105681370093114,4.106057479415632,0.24354262087493195,0.4870852417498639,2.0006414046377046
fashion_mnist,relu,128,128,64,3,"0,1,2",4.032512922091871,4.0325530975851125,0.24798185561371736,0.4959637112274347,2.00003985157049
fashion_mnist,tanh,8,8,64,3,"0,1,2",4.8356578482389345,4.787165118242283,0.20889189641471417,0.41778379282942835,1.9673927480839457
fashion_mnist,tanh,8,16,64,3,"0,1,2",4.528899123322405,4.592950889716798,0.21772494938687667,0.43544989877375334,2.049562948096864
fashion_mnist,tanh,8,32,64,3,"0,1,2",4.277150406856627,4.30010286725402,0.23255257626861955,0.4651051525372391,2.0214651889356965
fashion_mnist,tanh,8,64,64,3,"0,1,2",4.15038825945368,4.149168111198417,0.24101216754776583,0.48202433509553166,1.9999085833349612
fashion_mnist,tanh,8,128,64,3,"0,1,2",4.029676255621889,4.035658383703681,0.24779104297779064,0.4955820859555813,2.0027513737781986
